ts,value,counter_name,t_s
489834556543,22.414379119873047,application_prediction_milliseconds,0.0
489834671283,0.0,stale_frames_per_second,0.00011474
489834674043,0.0,last_used_foveation_level,0.0001175
489834676335,5.0,application_layer_count,0.000119792
489834678470,12214.0,app_vss_mb,0.000121927
489834680450,1089.0,app_rss_mb,0.000123907
489834681908,451.0,app_uss_mb,0.000125365
489834683262,1.1121751070022583,app_gpu_ms,0.000126719
489834684825,72.0,display_refresh_rate,0.000128282
489834688627,3.0,cpu_level,0.000132084
489834690450,2.0,gpu_level,0.000133907
489834691856,1920.0,cpu_frequency_mhz,0.000135313
489834693939,545.0,gpu_frequency_mhz,0.000137396
489834695658,3196.0,mem_frequency_mhz,0.000139115
489834697012,3155.0,available_memory_mb,0.000140469
489834698679,2.474529504776001,timewarp_gpu_ms,0.000142136
489834700189,0.0,guardian_gpu_ms,0.000143646
489834701752,0.0,screen_tears_per_second,0.000145209
489834704148,47.0,cpu_util_0,0.000147605
489834705970,46.0,cpu_util_1,0.000149427
489834707533,51.0,cpu_util_2,0.00015099
489834709043,15.0,cpu_util_3,0.0001525
489834710450,18.0,cpu_util_4,0.000153907
489834712168,17.0,cpu_util_5,0.000155625
489834713783,0.0,cpu_util_6,0.00015724
489834715398,0.0,cpu_util_7,0.000158855
489834717012,26.898664236068726,gpu_util,0.000160469
490114312300,0.0,application_prediction_milliseconds,0.279755757
490114517873,0.0,stale_frames_per_second,0.27996133
490114521259,0.0,last_used_foveation_level,0.279964716
490114524071,0.0,application_layer_count,0.279967528
490114526519,0.0,app_vss_mb,0.279969976
490114528759,0.0,app_rss_mb,0.279972216
490114530321,0.0,app_uss_mb,0.279973778
490114531727,2523.318359375,app_gpu_ms,0.279975184
490131003187,0.0,application_prediction_milliseconds,0.296446644
490131290687,0.0,stale_frames_per_second,0.296734144
490131293448,0.0,last_used_foveation_level,0.296736905
490131296104,1.0,application_layer_count,0.296739561
490131299177,6661.0,app_vss_mb,0.296742634
490131301885,145.0,app_rss_mb,0.296745342
490131303292,2.0,app_uss_mb,0.296746749
490131304906,1.0810760259628296,app_gpu_ms,0.296748363
490834364455,22.541135787963867,application_prediction_milliseconds,0.999807912
490834372685,0.0,stale_frames_per_second,0.999816142
490834373987,0.0,last_used_foveation_level,0.999817444
490834375133,5.0,application_layer_count,0.99981859
490834376278,12214.0,app_vss_mb,0.999819735
490834377424,1089.0,app_rss_mb,0.999820881
490834378466,451.0,app_uss_mb,0.999821923
490834379299,1.081426978111267,app_gpu_ms,0.999822756
490834380185,72.0,display_refresh_rate,0.999823642
490834381435,3.0,cpu_level,0.999824892
490834382268,2.0,gpu_level,0.999825725
490834383153,1920.0,cpu_frequency_mhz,0.99982661
490834384351,545.0,gpu_frequency_mhz,0.999827808
490834385185,3196.0,mem_frequency_mhz,0.999828642
490834385862,3155.0,available_memory_mb,0.999829319
490834386539,2.4694812297821045,timewarp_gpu_ms,0.999829996
490834387216,0.0,guardian_gpu_ms,0.999830673
490834387633,0.0,screen_tears_per_second,0.99983109
490834388101,45.0,cpu_util_0,0.999831558
490834388674,45.0,cpu_util_1,0.999832131
490834389195,52.0,cpu_util_2,0.999832652
490834389664,30.0,cpu_util_3,0.999833121
490834390028,31.0,cpu_util_4,0.999833485
490834390497,26.0,cpu_util_5,0.999833954
490834391018,0.0,cpu_util_6,0.999834475
490834391643,0.0,cpu_util_7,0.9998351
490834392112,26.900216937065125,gpu_util,0.999835569
491115690577,0.0,application_prediction_milliseconds,1.281134034
491115701306,0.0,stale_frames_per_second,1.281144763
491115702504,0.0,last_used_foveation_level,1.281145961
491115704015,0.0,application_layer_count,1.281147472
491115705004,0.0,app_vss_mb,1.281148461
491115705942,0.0,app_rss_mb,1.281149399
491115706411,0.0,app_uss_mb,1.281149868
491115706827,2523.318359375,app_gpu_ms,1.281150284
491132443183,0.0,application_prediction_milliseconds,1.29788664
491132453339,0.0,stale_frames_per_second,1.297896796
491132454537,0.0,last_used_foveation_level,1.297897994
491132455683,1.0,application_layer_count,1.29789914
491132456933,6661.0,app_vss_mb,1.29790039
491132457975,145.0,app_rss_mb,1.297901432
491132458704,2.0,app_uss_mb,1.297902161
491132459485,1.0811244249343872,app_gpu_ms,1.297902942
491834464868,22.567153930664062,application_prediction_milliseconds,1.999908325
491834472628,0.0,stale_frames_per_second,1.999916085
491834474190,0.0,last_used_foveation_level,1.999917647
491834475076,5.0,application_layer_count,1.999918533
491834476065,12214.0,app_vss_mb,1.999919522
491834477159,1089.0,app_rss_mb,1.999920616
491834477732,451.0,app_uss_mb,1.999921189
491834478253,1.0814405679702759,app_gpu_ms,1.99992171
491834478878,72.0,display_refresh_rate,1.999922335
491834479815,3.0,cpu_level,1.999923272
491834480284,2.0,gpu_level,1.999923741
491834480909,1920.0,cpu_frequency_mhz,1.999924366
491834481795,545.0,gpu_frequency_mhz,1.999925252
491834482368,3196.0,mem_frequency_mhz,1.999925825
491834482888,3155.0,available_memory_mb,1.999926345
491834483513,2.473446846008301,timewarp_gpu_ms,1.99992697
491834484138,0.0,guardian_gpu_ms,1.999927595
491834484607,0.0,screen_tears_per_second,1.999928064
491834484972,50.0,cpu_util_0,1.999928429
491834485597,48.0,cpu_util_1,1.999929054
491834486065,57.0,cpu_util_2,1.999929522
491834486586,24.0,cpu_util_3,1.999930043
491834486951,30.0,cpu_util_4,1.999930408
491834487420,27.0,cpu_util_5,1.999930877
491834487940,0.0,cpu_util_6,1.999931397
491834488409,0.0,cpu_util_7,1.999931866
491834488878,26.88145339488983,gpu_util,1.999932335
492115699843,0.0,application_prediction_milliseconds,2.2811433
492115710677,0.0,stale_frames_per_second,2.281154134
492115712239,0.0,last_used_foveation_level,2.281155696
492115714271,0.0,application_layer_count,2.281157728
492115715677,0.0,app_vss_mb,2.281159134
492115716875,0.0,app_rss_mb,2.281160332
492115717916,0.0,app_uss_mb,2.281161373
492115718802,2523.318359375,app_gpu_ms,2.281162259
492133567293,0.0,application_prediction_milliseconds,2.29901075
492133575002,0.0,stale_frames_per_second,2.299018459
492133576095,0.0,last_used_foveation_level,2.299019552
492133576877,1.0,application_layer_count,2.299020334
492133577762,6661.0,app_vss_mb,2.299021219
492133578647,145.0,app_rss_mb,2.299022104
492133579116,2.0,app_uss_mb,2.299022573
492133579637,1.045798897743225,app_gpu_ms,2.299023094
492834704342,22.557235717773438,application_prediction_milliseconds,3.000147799
492834712311,0.0,stale_frames_per_second,3.000155768
492834714030,0.0,last_used_foveation_level,3.000157487
492834715176,5.0,application_layer_count,3.000158633
492834716373,12214.0,app_vss_mb,3.00015983
492834717571,1089.0,app_rss_mb,3.000161028
492834718405,451.0,app_uss_mb,3.000161862
492834719342,1.0471299886703491,app_gpu_ms,3.000162799
492834720176,72.0,display_refresh_rate,3.000163633
492834721373,3.0,cpu_level,3.00016483
492834722207,2.0,gpu_level,3.000165664
492834723092,1920.0,cpu_frequency_mhz,3.000166549
492834724290,545.0,gpu_frequency_mhz,3.000167747
492834725123,3196.0,mem_frequency_mhz,3.00016858
492834725748,3155.0,available_memory_mb,3.000169205
492834726426,2.47145676612854,timewarp_gpu_ms,3.000169883
492834726998,0.0,guardian_gpu_ms,3.000170455
492834727363,0.0,screen_tears_per_second,3.00017082
492834727884,50.0,cpu_util_0,3.000171341
492834728457,50.0,cpu_util_1,3.000171914
492834728978,54.0,cpu_util_2,3.000172435
492834729498,23.0,cpu_util_3,3.000172955
492834730019,24.0,cpu_util_4,3.000173476
492834730540,19.0,cpu_util_5,3.000173997
492834731061,0.0,cpu_util_6,3.000174518
492834731634,0.0,cpu_util_7,3.000175091
492834732155,26.871401071548462,gpu_util,3.000175612
493115875724,0.0,application_prediction_milliseconds,3.281319181
493115883537,0.0,stale_frames_per_second,3.281326994
493115884943,0.0,last_used_foveation_level,3.2813284
493115886558,0.0,application_layer_count,3.281330015
493115887756,0.0,app_vss_mb,3.281331213
493115888849,0.0,app_rss_mb,3.281332306
493115889683,0.0,app_uss_mb,3.28133314
493115890568,2523.318359375,app_gpu_ms,3.281334025
493132915309,0.0,application_prediction_milliseconds,3.298358766
493132935049,0.0,stale_frames_per_second,3.298378506
493132936143,0.0,last_used_foveation_level,3.2983796
493132940518,1.0,application_layer_count,3.298383975
493132949580,6661.0,app_vss_mb,3.298393037
493132950726,145.0,app_rss_mb,3.298394183
493132951143,2.0,app_uss_mb,3.2983946
493132951611,1.0814504623413086,app_gpu_ms,3.298395068
493834671994,22.41486167907715,application_prediction_milliseconds,4.000115451
493834681681,0.0,stale_frames_per_second,4.000125138
493834683244,0.0,last_used_foveation_level,4.000126701
493834684390,5.0,application_layer_count,4.000127847
493834685588,12214.0,app_vss_mb,4.000129045
493834686733,1089.0,app_rss_mb,4.00013019
493834687671,451.0,app_uss_mb,4.000131128
493834688400,1.0836344957351685,app_gpu_ms,4.000131857
493834689233,72.0,display_refresh_rate,4.00013269
493834690223,3.0,cpu_level,4.00013368
493834691004,2.0,gpu_level,4.000134461
493834691733,1920.0,cpu_frequency_mhz,4.00013519
493834692567,545.0,gpu_frequency_mhz,4.000136024
493834693192,3196.0,mem_frequency_mhz,4.000136649
493834693608,3155.0,available_memory_mb,4.000137065
493834694390,2.469419002532959,timewarp_gpu_ms,4.000137847
493834695119,0.0,guardian_gpu_ms,4.000138576
493834695536,0.0,screen_tears_per_second,4.000138993
493834696056,50.0,cpu_util_0,4.000139513
493834696733,45.0,cpu_util_1,4.00014019
493834697306,52.0,cpu_util_2,4.000140763
493834697827,22.0,cpu_util_3,4.000141284
493834698296,19.0,cpu_util_4,4.000141753
493834698817,25.0,cpu_util_5,4.000142274
493834699338,0.0,cpu_util_6,4.000142795
493834699858,0.0,cpu_util_7,4.000143315
493834700327,26.8560528755188,gpu_util,4.000143784
494116181293,0.0,application_prediction_milliseconds,4.28162475
494116189522,0.0,stale_frames_per_second,4.281632979
494116190824,0.0,last_used_foveation_level,4.281634281
494116192022,0.0,application_layer_count,4.281635479
494116192855,0.0,app_vss_mb,4.281636312
494116193637,0.0,app_rss_mb,4.281637094
494116194105,0.0,app_uss_mb,4.281637562
494116194522,2523.318359375,app_gpu_ms,4.281637979
494132611190,0.0,application_prediction_milliseconds,4.298054647
494132621763,0.0,stale_frames_per_second,4.29806522
494132622961,0.0,last_used_foveation_level,4.298066418
494132623899,1.0,application_layer_count,4.298067356
494132624940,6661.0,app_vss_mb,4.298068397
494132625774,145.0,app_rss_mb,4.298069231
494132626294,2.0,app_uss_mb,4.298069751
494132626763,1.080346703529358,app_gpu_ms,4.29807022
494834592614,22.385583877563477,application_prediction_milliseconds,5.000036071
494834601156,0.0,stale_frames_per_second,5.000044613
494834602041,0.0,last_used_foveation_level,5.000045498
494834602927,5.0,application_layer_count,5.000046384
494834604021,12214.0,app_vss_mb,5.000047478
494834604958,1089.0,app_rss_mb,5.000048415
494834605427,451.0,app_uss_mb,5.000048884
494834605843,1.078905701637268,app_gpu_ms,5.0000493
494834606312,72.0,display_refresh_rate,5.000049769
494834607093,3.0,cpu_level,5.00005055
494834607510,2.0,gpu_level,5.000050967
494834608031,1920.0,cpu_frequency_mhz,5.000051488
494834608812,545.0,gpu_frequency_mhz,5.000052269
494834609385,3196.0,mem_frequency_mhz,5.000052842
494834609750,3155.0,available_memory_mb,5.000053207
494834610427,2.473376989364624,timewarp_gpu_ms,5.000053884
494834611000,0.0,guardian_gpu_ms,5.000054457
494834611364,0.0,screen_tears_per_second,5.000054821
494834611833,47.0,cpu_util_0,5.00005529
494834612406,47.0,cpu_util_1,5.000055863
494834612875,50.0,cpu_util_2,5.000056332
494834613396,22.0,cpu_util_3,5.000056853
494834613864,17.0,cpu_util_4,5.000057321
494834614333,16.0,cpu_util_5,5.00005779
494834614802,0.0,cpu_util_6,5.000058259
494834615271,0.0,cpu_util_7,5.000058728
494834615791,26.88889503479004,gpu_util,5.000059248
495114641444,0.0,application_prediction_milliseconds,5.280084901
495114650038,0.0,stale_frames_per_second,5.280093495
495114651392,0.0,last_used_foveation_level,5.280094849
495114653059,0.0,application_layer_count,5.280096516
495114654309,0.0,app_vss_mb,5.280097766
495114655507,0.0,app_rss_mb,5.280098964
495114656392,0.0,app_uss_mb,5.280099849
495114657330,2523.318359375,app_gpu_ms,5.280100787
495131332436,0.0,application_prediction_milliseconds,5.296775893
495131341029,0.0,stale_frames_per_second,5.296784486
495131341915,0.0,last_used_foveation_level,5.296785372
495131342800,1.0,application_layer_count,5.296786257
495131343686,6661.0,app_vss_mb,5.296787143
495131344779,145.0,app_rss_mb,5.296788236
495131345196,2.0,app_uss_mb,5.296788653
495131345665,1.1803396940231323,app_gpu_ms,5.296789122
495620605081,2954870932.0,cpu-cycles,5.786048538
495629713362,3054231397.0,cpu-cycles,5.795156819
495664832268,3065273615.0,cpu-cycles,5.830275725
495672151956,5959384212.0,cpu-cycles,5.837595413
495696267997,3174384597.0,cpu-cycles,5.861711454
495739022320,3222806655.0,cpu-cycles,5.904465777
495750319352,3229895511.0,cpu-cycles,5.915762809
495758471695,3310494464.0,cpu-cycles,5.923915152
495764672268,3261426962.0,cpu-cycles,5.930115725
495775250341,6140225664.0,cpu-cycles,5.940693798
495777792581,6685731542.0,cpu-cycles,5.943236038
495778171331,3291256301.0,cpu-cycles,5.943614788
495782196956,3364569445.0,cpu-cycles,5.947640413
495795088674,3392228880.0,cpu-cycles,5.960532131
495802872060,6742413037.0,cpu-cycles,5.968315517
495810059404,3374031016.0,cpu-cycles,5.975502861
495819039247,3381791540.0,cpu-cycles,5.984482704
495833013154,3410791912.0,cpu-cycles,5.998456611
495836453391,22.483905792236328,application_prediction_milliseconds,6.001896848
495836466256,0.0,stale_frames_per_second,6.001909713
495836467454,0.0,last_used_foveation_level,6.001910911
495836468912,6.0,application_layer_count,6.001912369
495836470058,12214.0,app_vss_mb,6.001913515
495836471152,1089.0,app_rss_mb,6.001914609
495836471620,451.0,app_uss_mb,6.001915077
495836471985,1.169999361038208,app_gpu_ms,6.001915442
495836472506,72.0,display_refresh_rate,6.001915963
495836473131,3.0,cpu_level,6.001916588
495836473964,2.0,gpu_level,6.001917421
495836474485,1920.0,cpu_frequency_mhz,6.001917942
495836475787,545.0,gpu_frequency_mhz,6.001919244
495836476672,3196.0,mem_frequency_mhz,6.001920129
495836477037,3155.0,available_memory_mb,6.001920494
495836477922,2.234043836593628,timewarp_gpu_ms,6.001921379
495836478860,0.0,guardian_gpu_ms,6.001922317
495836479225,0.0,screen_tears_per_second,6.001922682
495836479693,46.0,cpu_util_0,6.00192315
495836480162,45.0,cpu_util_1,6.001923619
495836481047,48.0,cpu_util_2,6.001924504
495836481829,16.0,cpu_util_3,6.001925286
495836482558,22.0,cpu_util_4,6.001926015
495836482975,16.0,cpu_util_5,6.001926432
495836483756,0.0,cpu_util_6,6.001927213
495836484277,0.0,cpu_util_7,6.001927734
495836485162,26.961931586265564,gpu_util,6.001928619
495837689039,3431403057.0,cpu-cycles,6.003132496
495848010549,3500837819.0,cpu-cycles,6.013454006
495849546070,3459065885.0,cpu-cycles,6.014989527
495869501383,3494766515.0,cpu-cycles,6.03494484
495881817945,3523252911.0,cpu-cycles,6.047261402
495895122633,3551898574.0,cpu-cycles,6.06056609
495896394664,3540564551.0,cpu-cycles,6.061838121
