Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
6.31,66.5992431640625,33.400753021240234,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,16.236038208007812,25.391815185546875,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.6247392892837524,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,8.640438079833984,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1989943808.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,9405584.0,669724172.8710938,1.2294950485229492,1006.0,403.0,12126.0,7.0,17.746780395507812,2895.0,1920.0,4.0,61.0,60.0,67.0,41.0,39.0,50.0,72.0,545.0,3.0,20.27435153722763,3196.0,63.0,3.390005350112915
6.37,69.95647430419922,30.04352378845215,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,21.36611557006836,29.91905975341797,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.4647849798202514,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,0.7971704602241516,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1819292928.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,8139043.5,669724172.8710938,1.2294950485229492,1006.0,403.0,12126.0,7.0,17.746780395507812,2895.0,1920.0,4.0,61.0,60.0,67.0,41.0,39.0,50.0,72.0,545.0,3.0,20.27435153722763,3196.0,63.0,3.390005350112915
6.47,68.47941589355469,31.520586013793945,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,23.14902877807617,31.81144905090332,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2911343574523926,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,6.518922328948975,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1386319616.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,4959141.5,669724172.8710938,1.2294950485229492,1006.0,403.0,12126.0,7.0,17.746780395507812,2895.0,1920.0,4.0,61.0,60.0,67.0,41.0,39.0,50.0,72.0,545.0,3.0,20.27435153722763,3196.0,63.0,3.390005350112915
6.58,68.67184448242188,31.34753799438477,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,23.27104759216309,31.8430290222168,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.2233437448740005,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,4.356321811676025,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1444384640.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,5161571.0,669724172.8710938,1.2294950485229492,1006.0,403.0,12126.0,7.0,17.746780395507812,2895.0,1920.0,4.0,61.0,60.0,67.0,41.0,39.0,50.0,72.0,545.0,3.0,20.27435153722763,3196.0,63.0,3.390005350112915
6.68,68.07001495361328,31.909107208251957,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,23.41771507263184,32.499359130859375,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.3462674021720886,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,0.6743465065956116,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1554301056.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,5775257.5,669724172.8710938,1.2294950485229492,1006.0,403.0,12126.0,7.0,17.746780395507812,2895.0,1920.0,4.0,61.0,60.0,67.0,41.0,39.0,50.0,72.0,545.0,3.0,20.27435153722763,3196.0,63.0,3.390005350112915
6.78,67.95732116699219,32.06974411010742,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,22.122426986694336,31.759424209594727,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5023499131202698,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,9.278830528259276,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1889812992.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7546783.0,669724172.8710938,1.2294950485229492,1006.0,403.0,12126.0,7.0,17.746780395507812,2895.0,1920.0,4.0,61.0,60.0,67.0,41.0,39.0,50.0,72.0,545.0,3.0,20.27435153722763,3196.0,63.0,3.390005350112915
6.83,67.95732116699219,32.06974411010742,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,22.122426986694336,31.759424209594727,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5023499131202698,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,9.278830528259276,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1889812992.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7546783.0,669724172.8710938,0.6347993612289429,102.0,2.0,6330.0,1.0,17.746780395507812,2895.0,1920.0,4.0,61.0,60.0,67.0,41.0,39.0,50.0,72.0,545.0,3.0,20.27435153722763,3196.0,63.0,3.390005350112915
6.88,67.98604583740234,31.99968910217285,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,22.83851432800293,32.551544189453125,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5402606129646301,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,0.6327470541000366,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1891953920.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7422036.5,669724172.8710938,0.6347993612289429,102.0,2.0,6330.0,1.0,17.746780395507812,2895.0,1920.0,4.0,61.0,60.0,67.0,41.0,39.0,50.0,72.0,545.0,3.0,20.27435153722763,3196.0,63.0,3.390005350112915
6.98,67.80095672607422,32.18598937988281,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,23.002500534057617,31.776899337768555,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5514883399009705,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,2.896646022796631,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1844110976.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7292047.5,669724172.8710938,0.6347993612289429,102.0,2.0,6330.0,1.0,17.746780395507812,2895.0,1920.0,4.0,61.0,60.0,67.0,41.0,39.0,50.0,72.0,545.0,3.0,20.27435153722763,3196.0,63.0,3.390005350112915
7.08,67.89335632324219,32.10664749145508,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,23.074132919311523,31.772146224975582,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5712773203849792,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,0.6700443029403687,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1867120384.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7395047.0,669724172.8710938,0.6347993612289429,102.0,2.0,6330.0,1.0,17.746780395507812,2895.0,1920.0,4.0,61.0,60.0,67.0,41.0,39.0,50.0,72.0,545.0,3.0,20.27435153722763,3196.0,63.0,3.390005350112915
7.18,67.89537811279297,32.10462188720703,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,22.67180824279785,32.51334381103516,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5562047362327576,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,2.291724681854248,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1845083392.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7311336.5,669724172.8710938,0.6347993612289429,102.0,2.0,6330.0,1.0,17.746780395507812,2895.0,1920.0,4.0,61.0,60.0,67.0,41.0,39.0,50.0,72.0,545.0,3.0,20.27435153722763,3196.0,63.0,3.390005350112915
7.28,67.8555679321289,32.144432067871094,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,23.0252628326416,31.84767341613769,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5295959115028381,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,3.453987598419189,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1869878400.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7406647.0,669724172.8710938,0.6347993612289429,102.0,2.0,6330.0,1.0,17.746780395507812,2895.0,1920.0,4.0,61.0,60.0,67.0,41.0,39.0,50.0,72.0,545.0,3.0,20.27435153722763,3196.0,63.0,3.390005350112915
7.33,67.8555679321289,32.144432067871094,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,23.0252628326416,31.84767341613769,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5295959115028381,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,3.453987598419189,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1869878400.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7406647.0,669724172.8710938,0.6678186655044556,635.5,232.5,10000.0,1.0,27.37402629852295,2895.0,1920.0,4.0,82.0,81.0,85.0,59.0,82.0,75.0,90.0,545.0,2.0,28.01511287689209,3196.0,68.5,3.372643232345581
7.38,67.8746566772461,32.12534713745117,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,23.233034133911133,31.850116729736328,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5465627908706665,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,0.6886226534843445,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1873193472.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7418433.5,669724172.8710938,0.6678186655044556,635.5,232.5,10000.0,1.0,27.37402629852295,2895.0,1920.0,4.0,82.0,81.0,85.0,59.0,82.0,75.0,90.0,545.0,2.0,28.01511287689209,3196.0,68.5,3.372643232345581
7.48,67.93072509765625,32.06927490234375,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,23.43309211730957,32.53351974487305,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5257145166397095,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,0.5833413004875183,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1873597952.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7224968.5,669724172.8710938,0.6678186655044556,635.5,232.5,10000.0,1.0,27.37402629852295,2895.0,1920.0,4.0,82.0,81.0,85.0,59.0,82.0,75.0,90.0,545.0,2.0,28.01511287689209,3196.0,68.5,3.372643232345581
7.58,67.91510009765625,32.084896087646484,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,22.69440650939941,31.797094345092773,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5189716815948486,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,0.6824683547019958,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1873928960.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7619996.5,669724172.8710938,0.6678186655044556,635.5,232.5,10000.0,1.0,27.37402629852295,2895.0,1920.0,4.0,82.0,81.0,85.0,59.0,82.0,75.0,90.0,545.0,2.0,28.01511287689209,3196.0,68.5,3.372643232345581
7.68,67.93537139892578,32.064632415771484,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,22.93161392211914,32.51178359985352,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5976146459579468,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,0.5989466309547424,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1871703424.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7416353.5,669724172.8710938,0.6678186655044556,635.5,232.5,10000.0,1.0,27.37402629852295,2895.0,1920.0,4.0,82.0,81.0,85.0,59.0,82.0,75.0,90.0,545.0,2.0,28.01511287689209,3196.0,68.5,3.372643232345581
7.78,67.90084075927734,32.099159240722656,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,23.10285758972168,31.763599395751957,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.4907824695110321,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,0.6559238433837891,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1873933824.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7421704.5,669724172.8710938,0.6678186655044556,635.5,232.5,10000.0,1.0,27.37402629852295,2895.0,1920.0,4.0,82.0,81.0,85.0,59.0,82.0,75.0,90.0,545.0,2.0,28.01511287689209,3196.0,68.5,3.372643232345581
7.81,67.90084075927734,32.099159240722656,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,23.10285758972168,31.763599395751957,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.4907824695110321,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,0.6559238433837891,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1873933824.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7421704.5,669724172.8710938,0.6678186655044556,102.0,2.0,6330.0,1.0,27.37402629852295,2895.0,1920.0,4.0,82.0,81.0,85.0,59.0,82.0,75.0,90.0,545.0,2.0,28.01511287689209,3196.0,4.0,3.372643232345581
7.88,68.00189208984375,32.01242446899414,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,23.221189498901367,31.7609977722168,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.4712336957454681,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,0.6392660140991211,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1896138624.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7650322.0,669724172.8710938,0.6678186655044556,102.0,2.0,6330.0,1.0,27.37402629852295,2895.0,1920.0,4.0,82.0,81.0,85.0,59.0,82.0,75.0,90.0,545.0,2.0,28.01511287689209,3196.0,4.0,3.372643232345581
7.99,68.42605590820312,32.472251892089844,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,22.5283145904541,32.453163146972656,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5414776802062988,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,0.6633098125457764,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1901121536.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7658664.5,669724172.8710938,0.6678186655044556,102.0,2.0,6330.0,1.0,27.37402629852295,2895.0,1920.0,4.0,82.0,81.0,85.0,59.0,82.0,75.0,90.0,545.0,2.0,28.01511287689209,3196.0,4.0,3.372643232345581
8.09,67.22129821777344,31.860570907592773,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,23.30069351196289,31.721960067749023,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5793253779411316,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,2.424175977706909,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1886533760.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7587136.0,669724172.8710938,0.6678186655044556,102.0,2.0,6330.0,1.0,27.37402629852295,2895.0,1920.0,4.0,82.0,81.0,85.0,59.0,82.0,75.0,90.0,545.0,2.0,28.01511287689209,3196.0,4.0,3.372643232345581
8.19,67.88420867919922,32.140804290771484,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,22.586788177490234,32.54835510253906,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5238656401634216,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,4.644210338592529,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1920478976.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7350399.0,669724172.8710938,0.6678186655044556,102.0,2.0,6330.0,1.0,27.37402629852295,2895.0,1920.0,4.0,82.0,81.0,85.0,59.0,82.0,75.0,90.0,545.0,2.0,28.01511287689209,3196.0,4.0,3.372643232345581
8.29,68.0492172241211,31.944238662719727,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,22.107627868652344,31.75141906738281,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5724474191665649,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,9.333184242248535,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1906506112.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7657063.0,669724172.8710938,0.6678186655044556,102.0,2.0,6330.0,1.0,27.37402629852295,2895.0,1920.0,4.0,82.0,81.0,85.0,59.0,82.0,75.0,90.0,545.0,2.0,28.01511287689209,3196.0,4.0,3.372643232345581
8.3,68.0492172241211,31.944238662719727,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,22.107627868652344,31.75141906738281,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5724474191665649,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,9.333184242248535,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1906506112.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7657063.0,669724172.8710938,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2895.0,1920.0,4.0,82.0,81.0,85.0,59.0,82.0,75.0,90.0,545.0,2.0,28.01511287689209,3196.0,73.0,3.372643232345581
8.31,68.0492172241211,31.944238662719727,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,22.107627868652344,31.75141906738281,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5724474191665649,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,9.333184242248535,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1906506112.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7657063.0,669724172.8710938,0.1605613231658935,1006.0,403.0,12126.0,2.0,17.451440811157227,2895.0,1920.0,4.0,93.0,93.0,92.0,89.0,93.0,96.0,90.0,545.0,2.0,30.393531918525696,3196.0,81.0,3.373201608657837
8.39,67.72904205322266,32.252193450927734,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,23.21705818176269,31.806915283203125,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5431743860244751,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,0.632676899433136,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1884567040.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7423842.5,669724172.8710938,0.1605613231658935,1006.0,403.0,12126.0,2.0,17.451440811157227,2895.0,1920.0,4.0,93.0,93.0,92.0,89.0,93.0,96.0,90.0,545.0,2.0,30.393531918525696,3196.0,81.0,3.373201608657837
8.49,67.9339828491211,32.06601333618164,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,22.980152130126957,32.59669876098633,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5296008586883545,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,0.65682053565979,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1873184000.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7421423.5,669724172.8710938,0.1605613231658935,1006.0,403.0,12126.0,2.0,17.451440811157227,2895.0,1920.0,4.0,93.0,93.0,92.0,89.0,93.0,96.0,90.0,545.0,2.0,30.393531918525696,3196.0,81.0,3.373201608657837
8.59,68.00662994384766,32.01476287841797,0.45462703704833984,0.10008653146880013,9.590037754603795,19.7790584564209,23.89314079284668,0.00092295033391565,23.08271026611328,31.73293685913086,20.521636962890625,5.115875720977783,24.38690757751465,0.61309152841568,0.5431330800056458,-1.0,147.75344848632812,161.7561492919922,0.25995221734046936,0.20622757077217102,6.82388973236084,0.6919028759002686,545001312.0,-1.0,9.92343044281006,36701601792.0,40852504576.0,-1.0,-1.0,1877895424.0,84.06183433532715,545000000.0,0.12808342278003693,656255.4375,180.0672492980957,479403648.0,1298926.0,55732.9453125,441388224.0,-1.0,2.480857610702515,-1.0,18625950.0,7541578.0,669724172.8710938,0.1605613231658935,1006.0,403.0,12126.0,2.0,17.451440811157227,2895.0,1920.0,4.0,93.0,93.0,92.0,89.0,93.0,96.0,90.0,545.0,2.0,30.393531918525696,3196.0,81.0,3.373201608657837
